ID,Ten_san_pham,Mo_ta_ngan,Loai_vat_lieu,Chung_nhan,He_so_phat_thai,Link_Hinh_anh,Link_PDF
1,Gạch xây tường ngăn phòng 600x200x80mm,"Gạch bê tông khí chưng áp dùng xây tường ngăn phòng, kích thước 600x200x80mm.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Gạch xây tường ngăn phòng 600x200x80mm.png,Catalog BTK 2024 gui mail (1).pdf
2,Gạch xây tường ngăn phòng 600x200x100mm,"Gạch AAC Viglacera dùng cho tường ngăn, thi công nhanh, nhẹ, cách âm tốt.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Gạch xây tường ngăn phòng 600x200x100mm.png,Catalog BTK 2024 gui mail (1).pdf
3,Gạch xây tường bao ngoài 600x200x150mm,"Gạch AAC Viglacera phù hợp xây tường bao ngoài và ngăn phòng, nhẹ, chống cháy tốt.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Gạch xây tường bao ngoài 600x200x150mm.png,Catalog BTK 2024 gui mail (1).pdf
4,Gạch xây tường bao ngoài 600x200x200mm,"Gạch AAC Viglacera loại 200mm, dùng cho tường bao ngoài, chịu lực cao.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Gạch xây tường bao ngoài 600x200x200mm.png,Catalog BTK 2024 gui mail (1).pdf
5,Gạch ốp chống nóng 600x200x50mm,"Gạch AAC Viglacera chống nóng, phù hợp cho mái và tường ngoài.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Gạch ốp chống nóng 600x200x50mm.png,Catalog BTK 2024 gui mail (1).pdf
6,Gạch ốp chống nóng 600x200x75mm,"Gạch AAC Viglacera chống nóng, nhẹ, thi công nhanh, cách nhiệt cao.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Gạch ốp chống nóng 600x200x75mm.png,Catalog BTK 2024 gui mail (1).pdf
7,Tấm panel chưng áp 1 lõi thép,"Panel ALC Viglacera kết cấu 1 lõi thép, nhẹ, cách âm và chống cháy tốt.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Tấm panel chưng áp 1 lõi thép.png,Catalog BTK 2024 gui mail (1).pdf
8,Tấm panel chưng áp 2 lõi thép,"Panel ALC Viglacera kết cấu 2 lõi thép, chịu lực tốt, dùng cho tường và sàn.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Tấm panel chưng áp 2 lõi thép.png,Catalog BTK 2024 gui mail (1).pdf
9,"Tấm panel sàn, trần, mái","Panel ALC Viglacera dùng làm sàn, trần, mái lợp, chống cháy EI240 phút.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,"Tấm panel sàn, trần, mái.png",Catalog BTK 2024 gui mail (1).pdf
10,Tấm panel lanh tô,"Panel ALC Viglacera dùng làm lanh tô cửa sổ, cửa ra vào, nhẹ và bền.",Bê tông khí chưng áp,"Đạt TCVN, QCVN, chứng nhận PCCC",0.12 - 0.22 W/mK,Tấm panel lanh tô.png,Catalog BTK 2024 gui mail (1).pdf
11,Kính Low-E Viglacera,"Kính tiết kiệm năng lượng phủ mềm Low-E giúp giảm thất thoát nhiệt, tiết kiệm điện năng điều hòa.",Kính tiết kiệm năng lượng,"Chứng nhận ISO 9001, QCVN 16:2019/BXD",Không áp dụng,Kính Low-E Viglacera.png,catalogue.pdf
12,Kính Solar Control Viglacera,"Kính phản xạ năng lượng mặt trời, giúp giảm nhiệt lượng hấp thụ, phù hợp cho công trình xanh.",Kính tiết kiệm năng lượng,"Chứng nhận ISO 9001, QCVN 16:2019/BXD",Không áp dụng,Kính Solar Control Viglacera.png,catalogue.pdf
13,Kính siêu trắng PFG,"Kính siêu trắng PFG có độ truyền sáng cao, độ trong suốt vượt trội, giúp tối đa hóa ánh sáng tự nhiên và tăng tính thẩm mỹ cho công trình hiện đại. Sản phẩm được ứng dụng cho mặt dựng, lan can kính, tủ trưng bày, và các công trình yêu cầu độ trong cao.",Kính siêu trắng,"Chứng nhận ISO 9001, QCVN 16:2019/BXD",Không áp dụng,Kính siêu trắng PFG.jpg,catalogue.pdf
14,Sen tắm cây nóng lạnh VG598,"Sen tắm cây nóng lạnh Viglacera VG598, thiết kế hiện đại, tiện nghi, dễ sử dụng.",Sen vòi,"Chứng nhận ISO 9001:2015, QCVN 16:2019/BXD",Không áp dụng,Sen tắm cây nóng lạnh VG598.png,250214) Catalogue Viglacera 2025 Final .pdf
15,Sen tắm cây nóng lạnh VG581,"Sen tắm cây nóng lạnh VG581 với tay sen tròn, chất liệu đồng mạ crom sáng bóng.",Sen vòi,"Chứng nhận ISO 9001:2015, QCVN 16:2019/BXD",Không áp dụng,Sen tắm cây nóng lạnh VG581.png,250214) Catalogue Viglacera 2025 Final .pdf
16,Sen cây nhiệt độ VG582,"Sen cây nhiệt độ Viglacera VG582 giúp điều chỉnh nhiệt tự động, an toàn cho người dùng.",Sen vòi,"Chứng nhận ISO 9001:2015, QCVN 16:2019/BXD",Không áp dụng,Sen cây nhiệt độ VG582.png,250214) Catalogue Viglacera 2025 Final .pdf
17,Bàn cầu thông minh V882,"Bàn cầu thông minh Viglacera V882 tích hợp rửa tự động, sưởi ấm và điều khiển từ xa.",Bàn cầu thông minh,"Chứng nhận ISO 9001:2015, QCVN 16:2019/BXD",Không áp dụng,Bàn cầu thông minh V882.png,250214) Catalogue Viglacera 2025 Final .pdf
18,Bàn cầu thông minh V91,"Bàn cầu thông minh Viglacera V91 với nắp điện tử tự động đóng mở, tiết kiệm nước.",Bàn cầu thông minh,"Chứng nhận ISO 9001:2015, QCVN 16:2019/BXD",Không áp dụng,Bàn cầu thông minh V91.png,250214) Catalogue Viglacera 2025 Final .pdf
19,Pacista,"Bảng vân đá lớn Pacista — tông xám và nâu, phù hợp ốp tường và sàn, hoàn thiện Polished/Matt.",Đá nung kết,Không áp dụng,Không áp dụng,Pacista.png,viglacera-cuu-long-collection-review-da-nen.pdf
20,Cosmic,"Bộ sưu tập Cosmic — họa tiết xoáy lớn, nhiều tông màu, bề mặt Polished/Matt/Lux.",Đá nung kết,Không áp dụng,Không áp dụng,Cosmic.png,viglacera-cuu-long-collection-review-da-nen.pdf
21,Grande Marble,"Bộ sưu tập Cosmic — họa tiết xoáy lớn, nhiều tông màu, bề mặt Polished/Matt/Lux.",Đá nung kết,Không áp dụng,Không áp dụng,Grande Marble.png,viglacera-cuu-long-collection-review-da-nen.pdf
22,Grigio Carnico,"Bộ sưu tập Cosmic — họa tiết xoáy lớn, nhiều tông màu, bề mặt Polished/Matt/Lux.",Đá nung kết,Không áp dụng,Không áp dụng,Grigio Carnico.png,viglacera-cuu-long-collection-review-da-nen.pdf
23,Amazonite,"Amazonite — tông xanh ngọc lục bảo, hiệu ứng kim loại/đồng, hoàn thiện Polished/Matt.",Đá nung kết,Không áp dụng,Không áp dụng,Amazonite.png,viglacera-cuu-long-collection-review-da-nen.pdf
24,Sahara Noir,"Sahara Noir — nền đen sâu với vân trắng và vàng, phù hợp điểm nhấn nội thất và façade.",Đá nung kết,Không áp dụng,Không áp dụng,Sahara Noir.png,viglacera-cuu-long-collection-review-da-nen.pdf
25,Apuan Luxe,"Apuan Luxe — bề mặt Polished/Matte/Honed, kích thước 120x280,120x240, độ dày 9mm/15mm. Sản xuất tại Việt Nam.",Đá nung kết,Không áp dụng,Không áp dụng,Apuan Luxe.png,viglacera-cuu-long-collection-review-da-nen.pdf
26,Armani Beige,"Armani Beige — tông be thanh lịch, hoàn thiện Polished/Matte/Honed; kích thước 120x280/120x240/80x280/80x240.",Đá nung kết,Không áp dụng,Không áp dụng,Armani Beige.png,viglacera-cuu-long-collection-review-da-nen.pdf
27,Armani Charcoal,"Armani Charcoal — tông xám đậm, hoàn thiện Polished/Matte/Honed; sản xuất tại Việt Nam.",Đá nung kết,Không áp dụng,Không áp dụng,Armani Charcoal.png,viglacera-cuu-long-collection-review-da-nen.pdf
28,Terre Beige,"Bộ Terre — các tông trung tính (Beige/Grey/Moka), hoàn thiện Polished/Matte/Honed; kích thước 120x280/120x240/80x280/80x240.",Đá nung kết,Không áp dụng,Không áp dụng,Terre Beige.png,viglacera-cuu-long-collection-review-da-nen.pdf
